fecha,tasa,ipc,infla,einfla,pbi,vpbi,epbi
jul-23,7.75,111.623134,5.881601456,3.572916667,176.0187317,-1.03889928,1.927083333
ago-23,7.75,112.042985,5.576147203,3.358333333,178.9426463,-0.022826673,1.966666667
sep-23,7.5,112.061363,5.044545948,3.378125,180.4072024,-0.986818426,1.94375
oct-23,7.25,111.700024,4.343081323,3.329166667,181.7993835,-0.743073936,1.8625
nov-23,7,111.517885,3.636475122,3.145833333,181.8164402,0.67456677,2.058333333
dic-23,6.75,111.9704,3.237382564,2.825,196.1485966,-0.828552713,2.25
ene-24,6.5,111.991911,3.023921748,2.6375,167.1383942,1.519442638,2.291666667
feb-24,6.25,112.616278,3.29406696,2.645833333,167.3041502,3.128649536,2.508333333
mar-24,6.25,113.75301,3.045045926,2.55625,171.9051836,-0.392442042,2.64375
abr-24,6,113.694232,2.422076178,2.616666667,181.7267615,5.499273638,2.708333333
may-24,5.75,113.591104,2.00493836,2.558333333,186.9668343,5.294751425,2.716666667
jun-24,5.75,113.729392,2.285382257,2.525,177.5283185,0.254284447,2.825
jul-24,5.75,113.998099,2.127663787,2.485416667,184.1638485,4.627414797,2.9125
ago-24,5.5,114.322048,2.034097003,2.441666667,185.6613622,3.754675607,2.916666667
sep-24,5.25,114.050464,1.775010536,2.425,186.3370086,3.286901005,2.925
oct-24,5.25,113.944279,2.00918041,2.454166667,188.4264963,3.645288927,2.8875
nov-24,5,114.051561,2.271990721,2.445833333,189.3574966,4.147620708,2.954166667
dic-24,5,114.172077,1.966302701,2.45,205.6618165,4.850006633,2.95
